timestamp,3cdaf029c87a002_write,3cdaf029c87a002_read,512e070e8eb32959_write,512e070e8eb32959_read,5b3ba363fb10d52f_write,5b3ba363fb10d52f_read,6181f76d6668aeb0_write,6181f76d6668aeb0_read,69948e3d245f62b7_write,69948e3d245f62b7_read,69f554c3f7f50a72_write,69f554c3f7f50a72_read,8861d1f6a0217629_write,8861d1f6a0217629_read,933ca51d2bb602b8_write,933ca51d2bb602b8_read,b92b49a4de72942d_write,b92b49a4de72942d_read
1760767838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767840,0,0,0,0,0,0,0,0,0,0,22,27,0,0,3,5,3,3
1760767842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,1,3
1760767844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
1760767850,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,6,81,84
1760767852,0,0,0,0,0,0,0,0,0,0,10,10,0,0,1,1,0,0
1760767854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
1760767856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767860,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,2,3,8
1760767862,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,0,12,7
1760767864,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0
1760767866,0,0,0,0,0,0,0,0,0,0,23,25,0,0,0,0,0,0
1760767868,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0
1760767870,0,0,0,0,0,0,0,0,0,0,5,3,0,0,75,77,7,2
1760767872,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0
1760767874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760767876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
